Temperature (K),Luminosity (L/Lo),Radius (R/Ro),Absolute magnitude (Mv),Star type,Star category,Star color,Spectral Class
2488,0.0009451904992213317,0.15798537448757144,24.308517995017105,0,f,white,A
2214,0.0023061925701737813,0.18077893358205693,15.398019838577211,3,f,Yellow,B
2192,0.0006924121323710421,0.12683260086045037,23.88993186034927,1,n,"Red,Blue",G
2959,0.002147106887199282,0.15138875462849105,19.124848134886108,3,r,"Red,Blue",G
2966,0.0022833719950940408,0.15205127031259721,20.855728622279027,4,a,Yellow,M
2481,0.0011931033619582913,0.1076503293375742,15.138088087679414,5,f,"Red,Blue",G
2664,0.0008558889325786933,0.13392274232696197,24.54407808387174,5,f,white,K
2727,0.0020049758628694733,0.18473036963991124,16.73494340211957,3,D,"Red,Blue",O
2980,0.0009374038731231758,0.1884872445960913,19.123423011454285,0,o,"Red,Blue",F
2029,0.0007491229031438794,0.14536974084650217,21.332485617876447,2,B,Yellow,F
2656,0.0011602187470844355,0.1124029131712666,22.770680621806353,4,B,Yellow,A
2884,0.0002466579428802753,0.13254538680422837,24.705283195743664,0,D,Yellow,K
2153,0.0005955362600619296,0.1703202209531317,19.183655243173646,1,r,Yellow,O
2417,0.0005717316700368694,0.1387640608954208,24.849149606002605,5,o,Yellow,K
2699,0.0022993278238182652,0.12301076302526254,15.803981061489475,3,r,Yellow,K
2850,0.001316139948830209,0.12649584858024693,19.899221364140203,3,a,white,K
2344,0.0017213267943687134,0.13075410554197675,18.36615847252457,2,r,Yellow,F
2871,0.0012233576166547368,0.15077217262101647,15.565052938477384,4,w,white,M
2774,0.0023169587420292224,0.11036178600474283,23.885663843242483,0,o,Yellow,F
2878,0.00039667979682455327,0.10016532518711561,22.095216379137568,5,f,Yellow,M
2681,0.0013128691532360837,0.17094953706133562,18.045142822317736,5, ,white,K
2211,0.0013726360112304554,0.19939465362668013,22.76433073796274,0,w,"Red,Blue",F
2181,0.00200447704361769,0.14727632578537844,22.6511314451684,3, ,Yellow,B
2897,0.0010389252097797344,0.161248355689799,23.151023404139238,1,a,white,G
2232,0.0006742788981927053,0.11815434448123997,19.724003508159356,2,r,yellow-orange,K
2517,0.0016191728458351518,0.12531780967232936,23.924189739667526,5,r,white,A
2484,0.0010315318253096416,0.13271344380357397,17.66643516726027,2,B,Yellow,F
2353,0.0005748070087921072,0.1251504768955381,23.87910018910096,5,f,"Red,Blue",O
2146,0.001547743062742946,0.11187630767673508,22.288891553886497,0,n,white,M
2034,0.0023832593988417222,0.17252155999869825,22.064075160653854,5,B,"Red,Blue",B
2851,0.0007387308735079355,0.19870472272731518,22.25142578524411,1,a,white,G
2425,0.00026497055850908756,0.18715054637507475,23.024552528222777,2,r,white,A
2212,0.0016608685732206394,0.1570449022629274,20.472916826491222,4,r,white,G
2295,0.0009906557476814229,0.16467610192688314,21.24176055307945,2,D,white,B
2675,0.0006339368213826342,0.1487292363288781,21.5582744861101,5, ,white,M
2150,0.002036096071551032,0.11151911893074778,19.497133044421666,4,w,yellow-orange,K
2809,0.0012468620004542606,0.11460031608703689,22.528508123432168,4,a,Yellow,F
2888,0.002176612266721381,0.18695395789628344,24.641158071988244,2,r,white,F
2911,0.0016264321615623814,0.18769807628093724,18.091230758832996,4,r,Yellow,A
2025,0.0019616191520471856,0.10320564600212007,23.296360568687007,4,B,white,B
2891,0.0015211853713079186,0.13532061623498193,16.168985765072872,4,f,"Red,Blue",F
2736,0.0011193056717222398,0.1977765147117682,22.797164419577616,4, ,white,B
2879,0.0017269569329500154,0.13978405834476346,20.801813972784814,2,f,yellow-orange,B
2463,0.0024759490185435763,0.15372615496627082,20.50363703141747,1,r,Yellow,G
2925,0.00027548690617512444,0.19525727725380826,23.70892930724286,4,r,"Red,Blue",K
2033,0.0013223572331690142,0.13490816184186266,16.788288603698817,2,r,white,A
2323,0.0011041279394451277,0.17167019750867546,18.387258686464683,4,D,white,B
2369,0.0017133506629289333,0.13142840395790287,19.843529353345318,0,D,"Red,Blue",K
2500,0.0008767200912901702,0.17158678142915923,23.82713211813197,3,w,white,M
2677,0.0009994765248111462,0.1283713177133008,22.8369709410387,0,f,white,O
2531,0.0023013101541381918,0.11530227102922591,24.879466701737687,3,f,Yellow,G
2960,0.00010040755981023937,0.11221678834153438,15.351502889622589,4,r,white,B
2466,0.0014898246126972853,0.16507306475085637,19.333813388770675,0,a,"Red,Blue",K
2432,0.0024181048556919573,0.12431491956904024,16.607287922905154,0,B,yellow-orange,B
2072,0.0017216936909722862,0.17158342110106356,15.24474974656732,0,w,white,B
2100,0.000179419343196519,0.19000869619151356,22.742440384048628,1,D,yellow-orange,O
2486,0.0013864819420943276,0.1439295357893474,15.600989611288508,1,r,Yellow,M
2042,0.0012237858981456902,0.11695432440211045,22.07512641002606,3,r,Yellow,B
2709,0.0016637356373055362,0.1329335165630273,17.312075320643594,4,w,yellow-orange,A
2442,0.0005824532826318759,0.18965410274821556,20.290198428382585,0,w,Yellow,F
2149,0.0008590097383845177,0.1435207907341218,19.815248611444737,5,D,"Red,Blue",G
2761,0.0007398926805441214,0.1522362448955379,22.197302566705062,1,D,"Red,Blue",B
2295,0.0018886384822817334,0.17022669135414253,16.888736287924864,1,n,white,O
2509,0.0017507683060056028,0.1612299472823775,24.188689561823168,2,B,white,A
2740,0.0014944616798713043,0.11495321137177814,17.955484137170796,1,w,yellow-orange,O
2725,0.002350460490249325,0.19625137520778627,19.880557897517356,5,w,Yellow,F
2495,0.0018854359589375936,0.1144010151825038,18.70066803752085,0, ,"Red,Blue",A
2673,0.000975779439504036,0.11993848398819051,15.942166889254953,0,w,Yellow,K
2110,0.002051597841787593,0.1468613204704682,16.28734885607328,5,f,white,K
2081,0.0020490347050645483,0.1773624786470197,24.686866288635677,4,B,Yellow,G
2515,0.0005622807323893386,0.17206120836405087,17.13986748031764,2,r,"Red,Blue",G
2793,0.0009506900033349668,0.1829196258108274,19.516089364415926,0,o,white,O
2861,0.0010382293913590572,0.11405677953449339,22.150810320998872,2,w,white,G
2435,0.0007706311369943072,0.17785105413045357,15.478337537228462,5,f,"Red,Blue",M
2015,0.0019871212867526213,0.18831389276086705,23.474019398345025,0,o,Yellow,M
2158,0.0009309715160782766,0.15241740691145256,20.04981384340993,5,f,"Red,Blue",K
2082,0.0007157449183539163,0.175997207663196,20.551904183865922,5,w,yellow-orange,G
2188,0.0020348406318624087,0.16320184932265025,20.326419097034083,0, ,white,K
2843,0.002225078626353754,0.10366367962698111,23.234050699647096,5,D,Yellow,M
2327,0.0002617463181041182,0.10581883559545041,22.51259344547462,5,f,Yellow,K
2541,0.0016135166768777493,0.19349617575324396,17.187466872324215,5,r,Yellow,O
2476,0.0023242865681599176,0.10137017292658113,24.92106762361989,5,r,white,K
2174,0.001238519830147531,0.14520731069125264,21.934183660718116,5,r,Yellow,O
